################################################################################
# This file contains a transactional data dump of students entering and leaving
# at the University Road drop-off gate. That is, the entrance closest to the
# Engineering buildings. There are three turnstiles. The first is North,
# denoted with 'N', and is closest to the Mineral Sciences Building. The second 
# is in the centre, denoted with 'C', and closest to the Mining Engineering
# Study Centre. The third is South, denoted by 'S', and is closest to the
# Engineering 2 Building.
#
# The time stamp indicates the day/month/year and time of day in the format
# hour:minutes:seconds. There is a variable indicating whether this is an
# 'entry' into the campus or an 'exit' leaving the campus. The 'success'
# variable indicates a '1' if the transaction was completed with only one tap of
# the student card, and '0' if two or more taps were required. 
################################################################################

date,type,turnstile,success
24/02/2020 00:16:47,exit,N,1
24/02/2020 00:42:02,exit,N,1
24/02/2020 00:45:51,exit,N,1
24/02/2020 00:51:12,exit,C,1
24/02/2020 01:04:34,exit,C,1
24/02/2020 01:05:55,exit,C,1
24/02/2020 01:08:36,entry,S,1
24/02/2020 01:36:42,exit,S,1
24/02/2020 02:15:44,exit,C,1
24/02/2020 02:20:06,entry,C,1
24/02/2020 02:31:29,entry,C,1
24/02/2020 02:58:07,exit,S,1
24/02/2020 04:01:31,entry,C,1
24/02/2020 04:14:48,entry,S,1
24/02/2020 04:21:04,entry,S,1
24/02/2020 04:29:55,entry,C,1
24/02/2020 04:54:30,entry,N,1
24/02/2020 05:24:58,entry,C,1
24/02/2020 05:43:07,exit,S,0
24/02/2020 05:45:16,entry,C,0
24/02/2020 05:50:14,entry,C,1
24/02/2020 06:51:35,exit,S,1
24/02/2020 06:51:56,exit,C,0
24/02/2020 06:54:27,entry,S,1
24/02/2020 06:56:26,entry,C,1
24/02/2020 07:00:35,entry,S,1
24/02/2020 07:02:20,entry,C,1
24/02/2020 07:02:37,entry,S,1
24/02/2020 07:02:58,entry,C,1
24/02/2020 07:03:33,entry,C,1
24/02/2020 07:04:35,entry,C,1
24/02/2020 07:04:43,entry,S,1
24/02/2020 07:05:05,entry,S,1
24/02/2020 07:05:12,entry,C,1
24/02/2020 07:05:45,entry,C,1
24/02/2020 07:07:10,exit,N,1
24/02/2020 07:07:43,entry,N,1
24/02/2020 07:08:09,entry,S,1
24/02/2020 07:08:53,entry,S,0
24/02/2020 07:09:04,entry,C,1
24/02/2020 07:09:14,entry,S,0
24/02/2020 07:09:20,entry,S,1
24/02/2020 07:09:49,entry,S,1
24/02/2020 07:09:52,exit,C,1
24/02/2020 07:09:54,entry,C,1
24/02/2020 07:10:00,entry,S,1
24/02/2020 07:10:59,entry,N,1
24/02/2020 07:12:55,entry,S,1
24/02/2020 07:13:30,entry,C,1
