################################################################################
# This file contains a transactional data dump of students entering and leaving
# at the University Road drop-off gate. That is, the entrance closest to the
# Engineering buildings. There are three turnstiles. The first is North,
# denoted with 'N', and is closest to the Mineral Sciences Building. The second 
# is in the centre, denoted with 'C', and closest to the Mining Engineering
# Study Centre. The third is South, denoted by 'S', and is closest to the
# Engineering 2 Building.
#
# The time stamp indicates the time of day first in the compact format HHMMSS
# and then the date as day/month/year. There is a variable indicating whether
# this is an 'entry' into the campus or an 'exit' leaving the campus. The
# 'success' variable indicates a '1' if the transaction was completed with only
# one tap of the student card, and '0' if two or more taps were required.
#
# The final variable indicates the system's estimate for the entry or exit
# transaction duration (in seconds). That is the time from when a student's
# card is first tapped until the turnstile is activated and locked again behind 
# the student. 
################################################################################


date,type,turnstile,success,duration
001724 24/02/2020,exit,S,1,6.03
002429 24/02/2020,exit,N,1,5.45
003916 24/02/2020,exit,S,0,8.17
005324 24/02/2020,entry,S,0,7.33
010531 24/02/2020,exit,C,1,6.94
013206 24/02/2020,exit,S,1,7.72
014927 24/02/2020,exit,C,1,6.5
021312 24/02/2020,exit,C,1,5.38
023208 24/02/2020,exit,C,0,6.19
032357 24/02/2020,entry,C,1,6.94
052907 24/02/2020,entry,N,1,5.62
061349 24/02/2020,exit,S,1,6.9
061718 24/02/2020,exit,C,1,7.17
063446 24/02/2020,entry,S,1,7.21
063455 24/02/2020,entry,S,1,7.84
063520 24/02/2020,entry,C,1,5.55
063605 24/02/2020,entry,C,1,7.21
063651 24/02/2020,entry,S,1,5.97
064138 24/02/2020,entry,N,1,5.5
064328 24/02/2020,entry,C,1,5.54
065014 24/02/2020,entry,N,1,7.5
065814 24/02/2020,entry,S,1,5.48
065902 24/02/2020,exit,S,1,6.63
070055 24/02/2020,entry,C,1,7.03
070203 24/02/2020,entry,S,1,6.75
070241 24/02/2020,entry,C,1,5.7
070312 24/02/2020,entry,S,1,7.08
070321 24/02/2020,entry,S,1,6.56
070351 24/02/2020,entry,C,1,6.92
070352 24/02/2020,entry,C,1,7.01
070523 24/02/2020,entry,S,1,7.1
070550 24/02/2020,entry,N,1,5.69
070615 24/02/2020,entry,C,0,7.55
070806 24/02/2020,entry,C,1,6.36
071029 24/02/2020,entry,C,1,5.48
071157 24/02/2020,entry,C,1,5.97
071238 24/02/2020,entry,N,1,6.96
071258 24/02/2020,entry,S,0,7.43
071527 24/02/2020,entry,S,1,7.89
071653 24/02/2020,entry,C,1,6.39
071655 24/02/2020,entry,C,1,7.12
071701 24/02/2020,entry,C,1,5.83
071726 24/02/2020,entry,C,1,6.55
071960 24/02/2020,entry,S,1,5.03
072034 24/02/2020,entry,S,1,6.3
072125 24/02/2020,entry,S,1,7.46
072128 24/02/2020,entry,C,1,5.74
072234 24/02/2020,entry,C,1,6.6
072338 24/02/2020,entry,N,1,6.53
072345 24/02/2020,entry,N,1,7.44
072348 24/02/2020,entry,S,1,5.79
072535 24/02/2020,entry,N,1,5.15
072624 24/02/2020,entry,C,1,5.85
072639 24/02/2020,entry,C,1,6.63
072733 24/02/2020,entry,S,1,7.02
072736 24/02/2020,entry,S,1,6.71
072955 24/02/2020,entry,C,0,6.02
073026 24/02/2020,entry,C,1,5.18
073027 24/02/2020,entry,S,1,7.89
073238 24/02/2020,entry,N,1,5.38
073239 24/02/2020,entry,C,1,6.55
073501 24/02/2020,entry,C,1,6.59
073716 24/02/2020,entry,C,1,5.21
073827 24/02/2020,entry,C,1,7.3
074042 24/02/2020,entry,C,1,6.25
074046 24/02/2020,entry,C,1,6.53
074109 24/02/2020,entry,C,1,5.48
074146 24/02/2020,entry,N,1,6.62
074152 24/02/2020,entry,C,1,6.77
074222 24/02/2020,entry,C,0,7.26
074226 24/02/2020,entry,N,1,7.54
074626 24/02/2020,entry,C,1,5.12
074702 24/02/2020,entry,N,1,7.04
074741 24/02/2020,entry,S,1,6.5
074744 24/02/2020,entry,C,1,6.7
074838 24/02/2020,entry,C,1,5.24
074946 24/02/2020,entry,S,1,7.42
074948 24/02/2020,entry,C,1,6.07
074948 24/02/2020,exit,S,0,6.46
074949 24/02/2020,entry,C,1,7.36
074949 24/02/2020,exit,C,0,5.64
075049 24/02/2020,exit,C,1,9.56
075149 24/02/2020,entry,C,1,6.5
075202 24/02/2020,entry,S,1,7.45
075260 24/02/2020,entry,S,1,4.55
075528 24/02/2020,exit,C,1,6.77
075555 24/02/2020,entry,C,1,5.81
075637 24/02/2020,entry,S,1,6.57
075654 24/02/2020,entry,S,1,5.3
075932 24/02/2020,entry,S,1,6.96
080001 24/02/2020,entry,C,1,7.07
080139 24/02/2020,entry,S,1,7.31
080207 24/02/2020,entry,N,1,6.99
080237 24/02/2020,entry,S,1,5.78
080238 24/02/2020,entry,N,1,5.7
080312 24/02/2020,exit,N,1,6.92
080313 24/02/2020,entry,S,1,5.88
080440 24/02/2020,exit,N,0,6
080507 24/02/2020,exit,S,1,6.67
080530 24/02/2020,entry,C,1,6.24
080603 24/02/2020,entry,C,0,5.76
080624 24/02/2020,entry,C,1,5.58
080703 24/02/2020,exit,N,1,7.04
080728 24/02/2020,entry,C,1,6.66
080832 24/02/2020,entry,S,1,5.43
080833 24/02/2020,entry,S,1,6.03
080846 24/02/2020,entry,S,1,7.57
080934 24/02/2020,entry,S,1,5.96
081003 24/02/2020,entry,C,1,6.19
