14.08.2018                                                 Dynamic List Display                                                         1
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
| Site|Del. Date |Site Description              |PO No's|Del  No's|HU  No's|        PO Qty|  Org OB Del|  OB Del Qty|    GI Qty|  GR Qty|
-----------------------------------------------------------------------------------------------------------------------------------------
| GC02|28.01.2018|Blackheath                    |    10 |       8 |     13 |          801 |        451 |        442 |      442 |      0 |
| GC04|28.01.2018|Bedfordview                   |    11 |      27 |     36 |        1,861 |      1,265 |      1,261 |    1,261 |      0 |
| GC05|28.01.2018|Kensington                    |    10 |      13 |     22 |        1,231 |        678 |        675 |      675 |      0 |
| GC06|28.01.2018|Florida                       |    12 |      23 |     12 |          832 |        506 |        487 |      487 |      0 |
| GC07|28.01.2018|The Glen                      |     9 |       7 |     16 |        1,061 |        594 |        594 |      594 |      0 |
| GC10|28.01.2018|Sunward Park                  |    10 |      16 |     17 |          897 |        521 |        513 |      513 |      0 |
| GC11|28.01.2018|Lonehill                      |    10 |      12 |     12 |          883 |        454 |        428 |      428 |      0 |
| GC12|28.01.2018|Rosebank                      |     9 |      11 |     13 |        1,010 |        598 |        595 |      595 |      0 |
| GC13|28.01.2018|Benmore                       |     8 |      24 |     20 |        1,072 |        730 |        722 |      722 |      0 |
| GC14|28.01.2018|Edenvale(Closed)              |    10 |      14 |     14 |          815 |        479 |        424 |      424 |      0 |
| GC15|28.01.2018|Killarney                     |    10 |      12 |     22 |        1,265 |        809 |        805 |      805 |      0 |
| GC16|28.01.2018|Krugersdorp                   |    13 |      21 |     27 |        1,318 |        914 |        904 |      904 |      0 |
| GC18|28.01.2018|Randpark Ridge                |    10 |      23 |     16 |          854 |        515 |        504 |      504 |      0 |
| GC25|28.01.2018|Auckland Park                 |     9 |      10 |     22 |        1,274 |        954 |        953 |      953 |      0 |
| GC27|28.01.2018|The Bridge                    |     9 |      18 |     12 |          460 |        330 |        327 |      327 |      0 |
| GC29|28.01.2018|Victory Park                  |    10 |      11 |     18 |        1,015 |        624 |        621 |      621 |      0 |
| GC35|28.01.2018|Cresta                        |     9 |      18 |     11 |          776 |        409 |        393 |      393 |      0 |
| GC38|28.01.2018|Morningside                   |     9 |      13 |     11 |          570 |        331 |        326 |      326 |      0 |
| GC39|28.01.2018|Carlton Centre                |     5 |       8 |     14 |          758 |        586 |        574 |      574 |      0 |
| GC42|28.01.2018|Loch Logan                    |    10 |      16 |     28 |        2,195 |      1,757 |      1,726 |    1,726 |      0 |
| GC43|28.01.2018|Bethlehem                     |    11 |      10 |     17 |        1,369 |      1,017 |      1,015 |    1,015 |      0 |
| GC44|28.01.2018|Kimberley                     |    13 |      11 |     21 |        1,272 |      1,001 |        998 |      998 |      0 |
| GC45|28.01.2018|Brandwag                      |    11 |      16 |     23 |        1,683 |      1,165 |      1,157 |    1,157 |      0 |
| GC46|28.01.2018|Kroonstad                     |    13 |      13 |     26 |        1,647 |      1,305 |      1,284 |    1,284 |      0 |
| GC49|28.01.2018|Noordstad                     |    11 |      12 |     23 |        1,403 |      1,025 |      1,018 |    1,018 |      0 |
| GC51|28.01.2018|Carletonville                 |     8 |      18 |     21 |        1,103 |        742 |        740 |      740 |      0 |
| GC52|28.01.2018|Festival Mall                 |     9 |       8 |     14 |          621 |        394 |        393 |      393 |      0 |
| GC53|28.01.2018|Clearwater Mall               |    12 |      11 |     22 |        1,202 |        691 |        687 |      687 |      0 |
| GC55|28.01.2018|Carnival Mall                 |    10 |      12 |     16 |          888 |        513 |        503 |      503 |      0 |
| GC56|28.01.2018|Vaal Mall                     |    10 |      14 |     14 |        1,105 |        670 |        662 |      662 |      0 |
| GC57|28.01.2018|Lenasia                       |    10 |      15 |     12 |        1,150 |        764 |        751 |      751 |      0 |
| GC58|28.01.2018|Chilli Lane                   |     9 |      10 |     15 |          850 |        509 |        507 |      507 |      0 |
| GC59|28.01.2018|New Redruth                   |    10 |      11 |     18 |        1,057 |        615 |        609 |      609 |      0 |
| GC61|28.01.2018|Royldene                      |    11 |      34 |     38 |        3,291 |      2,682 |      2,626 |    2,626 |      0 |
| GC62|28.01.2018|Westgate                      |     9 |      11 |     19 |          761 |        584 |        582 |      582 |      0 |
| GC64|28.01.2018|On Nicol                      |    12 |      13 |     25 |        2,190 |      1,488 |      1,470 |    1,470 |      0 |
| GC65|28.01.2018|Southdale                     |    10 |      11 |     23 |        1,266 |        848 |        844 |      844 |      0 |
| GC66|28.01.2018|Vosloorus                     |    10 |      16 |     16 |          759 |        580 |        568 |      568 |      0 |
| GC67|28.01.2018|Northlands Corner             |    10 |      10 |     12 |          662 |        406 |        405 |      405 |      0 |
| GC68|28.01.2018|The Falls                     |    11 |      13 |     28 |        1,601 |      1,034 |      1,021 |    1,021 |      0 |
| GC70|28.01.2018|Diepkloof                     |     9 |      12 |     27 |        1,431 |      1,074 |      1,069 |    1,069 |      0 |
| GC71|28.01.2018|Fairmount                     |    11 |      10 |     13 |          689 |        466 |        460 |      460 |      0 |
| GC72|28.01.2018|Dihlabeng Mall Bethlehem      |    11 |      17 |     21 |        1,609 |      1,214 |      1,208 |    1,208 |      0 |
| GC73|28.01.2018|Cradlestone Mall              |    10 |      15 |     16 |          861 |        491 |        484 |      484 |      0 |
| GC74|28.01.2018|Secunda Mall                  |    11 |      18 |     17 |        1,306 |        953 |        948 |      948 |      0 |
| GC76|28.01.2018|Kyalami on Main               |    10 |      12 |     12 |          697 |        441 |        436 |      436 |      0 |
| GC77|28.01.2018|Tembisa                       |    10 |       8 |     17 |          890 |        662 |        661 |      661 |      0 |
| GC78|28.01.2018|Mayfield Square               |     9 |       8 |     17 |          758 |        537 |        536 |      536 |      0 |
| GC81|28.01.2018|Cosmo Mall                    |     9 |      12 |     11 |          556 |        331 |        327 |      327 |      0 |
| GC82|28.01.2018|Blue Hills                    |     9 |      15 |     19 |          923 |        593 |        579 |      579 |      0 |
| GC83|28.01.2018|Newtown Junction              |     9 |       8 |     13 |          607 |        384 |        382 |      382 |      0 |
| GC84|28.01.2018|Springs Mall                  |     9 |      16 |     13 |          673 |        383 |        365 |      365 |      0 |
| GC91|28.01.2018|Village View Liquor           |     3 |       3 |      4 |          111 |         93 |         93 |       93 |      0 |
| GC92|28.01.2018|Carletonville Mall            |     9 |      12 |      8 |          314 |        169 |        158 |      158 |      0 |
| GC93|28.01.2018|Mall of the South             |    10 |      11 |     13 |          694 |        401 |        391 |      391 |      0 |
| GC94|28.01.2018|Sebokeng                      |     7 |       7 |     10 |          589 |        394 |        380 |      380 |      0 |
| GC96|28.01.2018|Lemo Mall Mangaung            |    11 |      20 |      7 |          481 |        306 |        305 |      305 |      0 |
| GC97|28.01.2018|Local Petervale               |     3 |       2 |      2 |           75 |         17 |         17 |       17 |      0 |
| GC98|28.01.2018|Alberton City                 |    10 |      15 |     14 |          640 |        388 |        379 |      379 |      0 |
| GD01|28.01.2018|Local Golden Sun              |     2 |       1 |      3 |           29 |         26 |         26 |       26 |      0 |
| GD02|28.01.2018|Local Senderwood              |     2 |       3 |      8 |          213 |        189 |        176 |      176 |      0 |
| GD03|28.01.2018|Dobsonville Mall              |     4 |       6 |     18 |          949 |        716 |        700 |      700 |      0 |
| GD08|28.01.2018|Local Constantia Square       |     1 |       3 |      2 |           42 |         28 |         27 |       27 |      0 |
| GD10|28.01.2018|Botshabelo                    |    10 |       8 |      7 |      318.500 |        226 |        225 |      225 |      0 |
| GD11|28.01.2018|Alex Mall                     |     9 |      15 |     10 |          485 |        317 |        306 |      306 |      0 |
| GD13|28.01.2018|Local Leondale                |     1 |       3 |     11 |          568 |        487 |        481 |      481 |      0 |
| GF08|28.01.2018|Darras                        |     4 |       3 |     40 |        1,723 |      1,525 |      1,524 |    1,524 |      0 |
| GF10|28.01.2018|Ermelo                        |     4 |       8 |     10 |          840 |        498 |        496 |      496 |      0 |
| GF11|28.01.2018|Farramere                     |     1 |       1 |      1 |            8 |          2 |          2 |        2 |      0 |
| GF17|28.01.2018|Bonaero Park                  |     3 |       4 |      3 |          302 |        286 |        284 |      284 |      0 |
| GF19|28.01.2018|Birchleigh                    |     2 |       1 |      5 |           83 |         81 |         77 |       77 |      0 |
| GF20|28.01.2018|Bramley                       |     3 |       1 |      7 |          320 |        242 |        242 |      242 |      0 |
| GF21|28.01.2018|Elspark                       |     4 |      11 |     24 |        1,218 |        977 |        949 |      949 |      0 |
| GF24|28.01.2018|Lambton                       |     1 |       6 |     10 |          632 |        406 |        403 |      403 |      0 |
| GF25|28.01.2018|Sharon Park                   |     1 |       1 |      1 |            1 |          1 |          1 |        1 |      0 |
| GF26|28.01.2018|Midway Mews                   |     3 |       3 |     10 |          388 |        316 |        313 |      313 |      0 |
| GF27|28.01.2018|Edenglen                      |     1 |       1 |      0 |            1 |          1 |          1 |        1 |      0 |
